reviewer,latest_rating_id,pack_slug,lemma_id,lemma_display,translation_run_id,rating,tier,tier_rank,selection_rank,reference_words,aligned_groups,created_at,updated_at,mean_bleu4,mean_bleu4_resid_badness,mean_rouge_l,mean_rouge_l_resid_badness,mean_3gram_f1,mean_3gram_f1_resid_badness,mean_3gram_jaccard,mean_3gram_jaccard_resid_badness,composite_resid_badness
shirley,41,stephanos-review-v1,2054,Καβαλίς,3226,7,primary_random_review,5,5,66.0,7,2026-07-01 19:55:44,2026-07-01 19:55:44,0.8511675485224848,-1.836261699822881,0.919689987431923,-1.348942334364998,0.8513227513227514,-1.4144782602685362,0.7799305957200693,-1.3685977057483414,-5.968280000204756
shirley,37,stephanos-review-v1,2055,Καβασσός,3229,5,primary_random_review,3,3,109.0,8,2026-07-01 19:53:58,2026-07-01 19:53:58,0.31286214421344966,0.6845901785928653,0.6266895481969011,1.1906021483634281,0.22314533292794164,1.1547268617847979,0.14384220494417863,0.9982891699620456,4.028208358703137
shirley,46,stephanos-review-v1,2080,Καλαβρία,2347,6,secondary_random_review,1,11,18.0,2,2026-07-01 19:58:27,2026-07-01 19:58:27,0.3209351833551458,1.767008958785464,0.7333333333333334,1.2084846701215932,0.09999999999999999,2.285215599454307,0.05555555555555555,2.0468654434987377,7.3075746718601025
shirley,54,stephanos-review-v1,2115,Καλὴ ἀκτή,4054,6,secondary_random_review,7,17,64.0,5,2026-07-01 20:00:35,2026-07-01 20:00:35,1.0000000000000004,-2.6006553302863464,1.0,-2.107162436985761,1.0,-2.051591001913531,1.0,-2.2424454770426694,-9.001854246228309
shirley,50,stephanos-review-v1,2325,Καλλίαι,3290,6,secondary_random_review,4,14,24.0,3,2026-07-01 19:59:17,2026-07-01 19:59:17,0.5240032180880574,0.5181485930552645,0.8268907563025211,0.13683729172663606,0.4083916083916084,0.8476854797831096,0.2574074074074074,1.123752441388058,2.6264238059530682
shirley,51,stephanos-review-v1,2329,Κάλπη,2361,6,secondary_random_review,5,15,57.0,9,2026-07-01 19:59:44,2026-07-01 19:59:44,0.7108629571850371,-1.0059760204863035,0.8216117216117217,-0.31573925240604944,0.6712962962962963,-0.5823474525705038,0.6367521367521367,-0.7359280137337488,-2.6399907391966058
shirley,62,stephanos-review-v1,2330,Καλύβη,3302,5,primary_random_review,1,1,24.0,2,2026-07-01 22:05:07,2026-07-01 22:05:07,0.7850084305645257,-0.856063731789058,0.9352226720647774,-0.9101081710287913,0.8090909090909091,-0.8967639735810127,0.6794871794871795,-0.5749527038666554,-3.2378885802655173
shirley,42,stephanos-review-v1,2477,Καρδαμύλη,3331,7,primary_random_review,6,6,43.0,6,2026-07-01 19:56:04,2026-07-01 19:56:04,0.43878799617001024,0.6025689647351496,0.7178932178932179,0.850712519137284,0.45399159663865546,0.4567102908673554,0.35912698412698413,0.4898982139370621,2.399889988676851
shirley,38,stephanos-review-v1,2484,Καρία,3612,7,primary_random_review,4,4,268.0,17,2026-07-01 19:54:57,2026-07-01 19:54:57,0.48023161331125985,-0.7585545191015385,0.7672007544901698,-0.6910941344059083,0.4880656732732857,-0.29551398441710713,0.4038651083633783,-0.39450260460950903,-2.139665242534063
shirley,61,stephanos-review-v1,2609,Κάσπειρος,3358,9,secondary_random_review,8,18,135.0,7,2026-07-01 20:02:41,2026-07-01 20:02:41,0.5376084543588958,-0.6323390723667657,0.7583415435139572,-0.20626060280955366,0.5534119021075543,-0.3536948433321832,0.4636506065291833,-0.3711616848334996,-1.563456203342002
shirley,45,stephanos-review-v1,2624,Κατάβαθμος,3370,7,primary_random_review,10,10,20.0,2,2026-07-01 19:57:54,2026-07-01 19:57:54,0.6635632383149455,-0.10276403136046378,0.8999999999999999,-0.46356175941501326,0.6875,-0.3072450555020035,0.6153846153846154,-0.24678329074216782,-1.1203541370196484
shirley,47,stephanos-review-v1,2629,Καταννοί,3385,7,secondary_random_review,2,12,11.0,2,2026-07-01 19:58:39,2026-07-01 19:58:39,0.7984745896009824,-0.43966220929273314,0.9285714285714286,-0.3916270722221212,0.7000000000000001,-0.16436053822971314,0.625,-0.05535355410076301,-1.0510033738453304
shirley,60,stephanos-review-v1,7242,Κύρβη,3403,6,secondary_random_review,10,20,14.0,3,2026-07-01 20:01:54,2026-07-01 20:01:54,0.8371692705264416,-0.7940270599740438,0.9523809523809524,-0.7621305531252934,0.6666666666666666,-0.09883387456952064,0.6666666666666666,-0.315877018580785,-1.970868506249643
shirley,59,stephanos-review-v1,7249,Κύρρος,3423,6,secondary_random_review,9,19,45.0,5,2026-07-01 20:01:36,2026-07-01 20:01:36,0.5251860671182766,0.11927987646941779,0.8378981937602628,-0.3355119998849447,0.4651176470588235,0.3932689976866303,0.3708502024291498,0.4252168487049548,0.6022537229760583
shirley,35,stephanos-review-v1,7252,Κύρτωνες,3431,5,primary_random_review,2,2,27.0,4,2026-07-01 19:53:24,2026-07-01 19:53:24,0.7044606980605529,-0.5055433093059843,0.9104278074866311,-0.7390570027431188,0.7649572649572649,-0.7434993911605808,0.6825396825396826,-0.6325765416508449,-2.6206762448605287
shirley,44,stephanos-review-v1,7253,Κυρτώνιος,3434,6,primary_random_review,9,9,18.0,3,2026-07-01 19:57:16,2026-07-01 19:57:16,0.6914660686187428,-0.18386437601669,0.8333333333333334,0.2420608278136268,0.7333333333333334,-0.47200904556624,0.7037037037037037,-0.5616760384145073,-0.9754886321838105
shirley,43,stephanos-review-v1,7255,Κυτέριον,3440,7,primary_random_review,7,7,22.0,3,2026-07-01 19:56:36,2026-07-01 19:56:36,0.47713177077028807,0.8192792946872187,0.7129629629629629,1.288519957643322,0.4238095238095238,0.8092796506518405,0.2814814814814815,1.0603574084751164,3.9774363114574975
shirley,48,stephanos-review-v1,7260,Κυχρεῖος πάγος,3452,7,secondary_random_review,3,13,63.0,6,2026-07-01 19:58:47,2026-07-01 19:58:47,0.5252933920861099,-0.09145215717607552,0.7028554778554779,0.7736816350371947,0.42290448343079917,0.46599901064151494,0.33321661998132585,0.44715756730388634,1.5953860558065205
shirley,52,stephanos-review-v1,7266,Κώμη,3470,7,secondary_random_review,6,16,78.0,6,2026-07-01 20:00:01,2026-07-01 20:00:01,0.1330903713755092,1.8401241758078466,0.4979124579124579,2.6299587582357122,0.15245310245310242,1.5729269018285343,0.08822546562484644,1.350938681833182,7.393948517705275
vanessa,26,stephanos-review-v1,2054,Καβαλίς,3226,6,primary_random_review,5,5,66.0,7,2026-06-30 09:07:15,2026-06-30 09:07:15,0.8511675485224848,-1.836261699822881,0.919689987431923,-1.348942334364998,0.8513227513227514,-1.4144782602685362,0.7799305957200693,-1.3685977057483414,-5.968280000204756
vanessa,24,stephanos-review-v1,2055,Καβασσός,3229,7,primary_random_review,3,3,109.0,8,2026-06-30 09:00:55,2026-06-30 09:00:55,0.31286214421344966,0.6845901785928653,0.6266895481969011,1.1906021483634281,0.22314533292794164,1.1547268617847979,0.14384220494417863,0.9982891699620456,4.028208358703137
vanessa,29,stephanos-review-v1,2059,Καδμεία,3534,3,primary_random_review,8,8,19.0,1,2026-06-30 09:08:39,2026-06-30 09:08:39,0.21836245334292012,2.273290780521828,0.6829268292682926,1.6641476519264502,0.27027027027027023,1.5260980930054466,0.15625,1.6207975718207945,7.084334097274519
vanessa,32,stephanos-review-v1,2330,Καλύβη,3302,2,primary_random_review,1,1,24.0,2,2026-07-01 06:53:12,2026-07-01 06:53:12,0.7850084305645257,-0.856063731789058,0.9352226720647774,-0.9101081710287913,0.8090909090909091,-0.8967639735810127,0.6794871794871795,-0.5749527038666554,-3.2378885802655173
vanessa,27,stephanos-review-v1,2477,Καρδαμύλη,3331,6,primary_random_review,6,6,43.0,6,2026-06-30 09:08:04,2026-06-30 09:08:04,0.43878799617001024,0.6025689647351496,0.7178932178932179,0.850712519137284,0.45399159663865546,0.4567102908673554,0.35912698412698413,0.4898982139370621,2.399889988676851
vanessa,25,stephanos-review-v1,2484,Καρία,3612,7,primary_random_review,4,4,268.0,17,2026-06-30 09:01:20,2026-06-30 09:01:20,0.48023161331125985,-0.7585545191015385,0.7672007544901698,-0.6910941344059083,0.4880656732732857,-0.29551398441710713,0.4038651083633783,-0.39450260460950903,-2.139665242534063
vanessa,31,stephanos-review-v1,2624,Κατάβαθμος,3370,5,primary_random_review,10,10,20.0,2,2026-06-30 09:09:27,2026-06-30 09:09:27,0.6635632383149455,-0.10276403136046378,0.8999999999999999,-0.46356175941501326,0.6875,-0.3072450555020035,0.6153846153846154,-0.24678329074216782,-1.1203541370196484
vanessa,23,stephanos-review-v1,7252,Κύρτωνες,3431,4,primary_random_review,2,2,27.0,4,2026-06-30 09:00:38,2026-06-30 09:00:38,0.7044606980605529,-0.5055433093059843,0.9104278074866311,-0.7390570027431188,0.7649572649572649,-0.7434993911605808,0.6825396825396826,-0.6325765416508449,-2.6206762448605287
vanessa,30,stephanos-review-v1,7253,Κυρτώνιος,3434,2,primary_random_review,9,9,18.0,3,2026-06-30 09:09:09,2026-06-30 09:09:09,0.6914660686187428,-0.18386437601669,0.8333333333333334,0.2420608278136268,0.7333333333333334,-0.47200904556624,0.7037037037037037,-0.5616760384145073,-0.9754886321838105
vanessa,28,stephanos-review-v1,7255,Κυτέριον,3440,7,primary_random_review,7,7,22.0,3,2026-06-30 09:08:22,2026-06-30 09:08:22,0.47713177077028807,0.8192792946872187,0.7129629629629629,1.288519957643322,0.4238095238095238,0.8092796506518405,0.2814814814814815,1.0603574084751164,3.9774363114574975
